Review_ID,Product_ID,Review_Text,Star_Rating
1,PROD_370,   This product is absolutely amazing! Loved every bit of it 😍   ,3
2,PROD_714,<b>Worst purchase ever</b> do not buy this garbage<p>,2
3,PROD_558,<br><p>Excellent product</p> highly recommended to everyone<br>,5
4,PROD_230,Waste of money!! stopped working after one week  ,5
5,PROD_591,"Not bad not great, somewhere in the middle i think",2
6,PROD_260,   Super fast delivery and product quality is top notch!!   ,4
7,PROD_847,"Complete scam, returned it immediately. 0 stars<p>",1
8,PROD_610,<br>Amazing value for money. Really impressed with the build quality<br>,2
9,PROD_882,"  
  Best product in this price range hands down 👍👍  
  ",3
10,PROD_931,"  
  Packaging was great and product works flawlessly  
  ",1
11,PROD_746,"<br>Really good product, will definitely recommend to friends<br>",5
12,PROD_487," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",1
13,PROD_341,"Its fine i guess, works as expected nothing more",2
14,PROD_997,   Love the design and it works exactly as described   ,4
15,PROD_554,"  
  10/10 would buy again. customer service was also helpful  
  ",4
16,PROD_134,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,1
17,PROD_487,"  
  Great quality, fast shipping. Will buy again!!  
  ",2
18,PROD_205, &nbsp; <p>Excellent product</p> highly recommended to everyone &nbsp; ,4
19,PROD_501,<br>5 stars!! best purchase i made this year<br>,2
20,PROD_369," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",4
21,PROD_824,"  
  Super fast delivery and product quality is top notch!!  
  ",5
22,PROD_891,"   I love this so much, exceeded my expectations completely   ",2
23,PROD_287,"Its fine i guess, works as expected nothing more",4
24,PROD_114,   Best product in this price range hands down 👍👍   ,5
25,PROD_620,<br>Packaging was great and product works flawlessly<br>,1
26,PROD_162,"  
  Really good product, will definitely recommend to friends  
  ",3
27,PROD_774,"  
  Outstanding quality, arrived on time and works perfectly  
  ",3
28,PROD_589,"Worst product i have ever bought, avoid at all costs<p>",2
29,PROD_300,<br>Love the design and it works exactly as described<br>,4
30,PROD_602,"  
  10/10 would buy again. customer service was also helpful  
  ",5
31,PROD_825,Terrible product!! broke after 2 days of use 😡  ,3
32,PROD_712,<b>Worst purchase ever</b> do not buy this garbage&amp;,3
33,PROD_602,"Very disappointed, product looks nothing like the pictures</p>",3
34,PROD_957,Waste of money!! stopped working after one week&amp;,2
35,PROD_674,"<br>Works perfectly fine, very happy with this purchase &amp;<br>",1
36,PROD_833,"  
  Super fast delivery and product quality is top notch!!  
  ",5
37,PROD_754,"   I love this so much, exceeded my expectations completely   ",3
38,PROD_259,   Amazing value for money. Really impressed with the build quality   ,3
39,PROD_677,Do not buy this!! total waste of time and money  ,2
40,PROD_745,Meets basic requirements but quality could be better,4
41,PROD_655,"Product is okay, nothing special but does the job",4
42,PROD_430,"Average quality for the price, expected a bit more",2
43,PROD_330,"   Totally worth the price, very satisfied customer here   ",1
44,PROD_732,<br>Love the design and it works exactly as described<br>,4
45,PROD_458,<br>10/10 would buy again. customer service was also helpful<br>,3
46,PROD_324,   This product is absolutely amazing! Loved every bit of it 😍   ,3
47,PROD_926,"  
  Great quality, fast shipping. Will buy again!!  
  ",1
48,PROD_596, &nbsp; <p>Excellent product</p> highly recommended to everyone &nbsp; ,2
49,PROD_609,"Neither good nor bad, just an okay product overall",2
50,PROD_724,"Poor quality, feels very cheap. Not worth it at all<p>",1
51,PROD_741, &nbsp; Super fast delivery and product quality is top notch!! &nbsp; ,4
52,PROD_835,"   I love this so much, exceeded my expectations completely   ",1
53,PROD_229,"Horrible experience, packaging was damaged and product broken</p>",5
54,PROD_809,"  
  Best product in this price range hands down 👍👍  
  ",4
55,PROD_222,"  
  Packaging was great and product works flawlessly  
  ",1
56,PROD_936,"Disappointed with the product, not as described at all  ",4
57,PROD_610,"Okay product, will see how long it lasts",1
58,PROD_425,"<br>Totally worth the price, very satisfied customer here<br>",5
59,PROD_863,"Neither good nor bad, just an okay product overall",3
60,PROD_610, &nbsp; 10/10 would buy again. customer service was also helpful &nbsp; ,3
61,PROD_919,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,1
62,PROD_650,<b>Worst purchase ever</b> do not buy this garbage  ,2
63,PROD_878,"Its fine i guess, works as expected nothing more",4
64,PROD_250,Waste of money!! stopped working after one week</p>,2
65,PROD_243,"  
  Works perfectly fine, very happy with this purchase &amp;  
  ",2
66,PROD_671,It works but nothing to write home about really,1
67,PROD_353,"  
  I love this so much, exceeded my expectations completely  
  ",4
68,PROD_108,"Horrible experience, packaging was damaged and product broken  ",1
69,PROD_307,"  
  Best product in this price range hands down 👍👍  
  ",3
70,PROD_153,Meets basic requirements but quality could be better,1
71,PROD_724,"Disappointed with the product, not as described at all&amp;",4
72,PROD_951,"Average quality for the price, expected a bit more",3
73,PROD_198,"   Totally worth the price, very satisfied customer here   ",1
74,PROD_977,"  
  Love the design and it works exactly as described  
  ",2
75,PROD_819,<br>10/10 would buy again. customer service was also helpful<br>,5
76,PROD_679,   This product is absolutely amazing! Loved every bit of it 😍   ,1
77,PROD_603,"  
  Great quality, fast shipping. Will buy again!!  
  ",3
78,PROD_787,"Very disappointed, product looks nothing like the pictures<p>",4
79,PROD_474,Waste of money!! stopped working after one week</p>,5
80,PROD_382,"  
  Works perfectly fine, very happy with this purchase &amp;  
  ",3
81,PROD_708,Arrived broken and customer support was useless 😤</p>,4
82,PROD_552,"Complete scam, returned it immediately. 0 stars<p>",4
83,PROD_615,"Horrible experience, packaging was damaged and product broken&amp;",3
84,PROD_116,Do not buy this!! total waste of time and money  ,4
85,PROD_576,"Not bad not great, somewhere in the middle i think",5
86,PROD_991,It works but nothing to write home about really,1
87,PROD_448,"Okay product, will see how long it lasts",1
88,PROD_198,"Worst product i have ever bought, avoid at all costs&amp;",4
89,PROD_290,"Neither good nor bad, just an okay product overall",5
90,PROD_260,<br>10/10 would buy again. customer service was also helpful<br>,3
91,PROD_834,   This product is absolutely amazing! Loved every bit of it 😍   ,2
92,PROD_785,"Average quality for the price, expected a bit more",2
93,PROD_762,"Very disappointed, product looks nothing like the pictures</p>",2
94,PROD_485, &nbsp; 5 stars!! best purchase i made this year &nbsp; ,2
95,PROD_492,"Poor quality, feels very cheap. Not worth it at all<p>",3
96,PROD_576,Arrived broken and customer support was useless 😤&amp;,2
97,PROD_966,"Okay product, will see how long it lasts",2
98,PROD_624,"Pretty average, does what it says in the description",4
99,PROD_135,Do not buy this!! total waste of time and money<p>,5
100,PROD_611,"  
  Packaging was great and product works flawlessly  
  ",4
101,PROD_242,"Product is okay, nothing special but does the job",4
102,PROD_826,"Stopped working after 3 days, very poor build quality  ",3
103,PROD_289,"<br>Totally worth the price, very satisfied customer here<br>",5
104,PROD_669,"Decent product, shipping was slow though",1
105,PROD_882, &nbsp; 10/10 would buy again. customer service was also helpful &nbsp; ,3
106,PROD_363,   This product is absolutely amazing! Loved every bit of it 😍   ,5
107,PROD_104,"  
  Great quality, fast shipping. Will buy again!!  
  ",4
108,PROD_983,"Pretty average, does what it says in the description",3
109,PROD_755,Waste of money!! stopped working after one week  ,5
110,PROD_205,Meets basic requirements but quality could be better,3
111,PROD_886,Arrived broken and customer support was useless 😤&amp;,4
112,PROD_840,"Complete scam, returned it immediately. 0 stars</p>",2
113,PROD_890,"Its fine i guess, works as expected nothing more",1
114,PROD_157,Do not buy this!! total waste of time and money<p>,2
115,PROD_195, &nbsp; Packaging was great and product works flawlessly &nbsp; ,1
116,PROD_996,"Disappointed with the product, not as described at all<p>",5
117,PROD_680,"Stopped working after 3 days, very poor build quality&amp;",5
118,PROD_253,"  
  Totally worth the price, very satisfied customer here  
  ",3
119,PROD_384,Terrible!! arrived late and was completely broken<p>,4
120,PROD_193,   10/10 would buy again. customer service was also helpful   ,4
121,PROD_317,"  
  This product is absolutely amazing! Loved every bit of it 😍  
  ",2
122,PROD_711,"<br>Great quality, fast shipping. Will buy again!!<br>",1
123,PROD_122,   <p>Excellent product</p> highly recommended to everyone   ,2
124,PROD_199,Waste of money!! stopped working after one week<p>,2
125,PROD_861," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",3
126,PROD_424,Arrived broken and customer support was useless 😤<p>,5
127,PROD_435,"  
  I love this so much, exceeded my expectations completely  
  ",2
128,PROD_259,"  
  Amazing value for money. Really impressed with the build quality  
  ",3
129,PROD_789,"Neither good nor bad, just an okay product overall",3
130,PROD_790,"Very bad quality, plastic feels cheap will break easily<p>",3
131,PROD_934,"Product is okay, nothing special but does the job",1
132,PROD_941,"Average quality for the price, expected a bit more",3
133,PROD_111,"   Totally worth the price, very satisfied customer here   ",2
134,PROD_134, &nbsp; Love the design and it works exactly as described &nbsp; ,1
135,PROD_701,"Not recommended at all, save your money for something better<p>",2
136,PROD_295,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,2
137,PROD_174,<b>Worst purchase ever</b> do not buy this garbage<p>,5
138,PROD_376,   <p>Excellent product</p> highly recommended to everyone   ,5
