Review_ID,Product_ID,Review_Text,Star_Rating,Cleaned_Review,Predicted_Sentiment,Confidence_Score
1,PROD_370,   This product is absolutely amazing! Loved every bit of it 😍   ,3,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
2,PROD_714,<b>Worst purchase ever</b> do not buy this garbage<p>,2,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
3,PROD_558,<br><p>Excellent product</p> highly recommended to everyone<br>,5,excellent product highly recommended to everyone,POSITIVE,0.9998
4,PROD_230,Waste of money!! stopped working after one week  ,5,waste of money!! stopped working after one week,NEGATIVE,0.9998
5,PROD_591,"Not bad not great, somewhere in the middle i think",2,"not bad not great, somewhere in the middle i think",NEGATIVE,0.9925
6,PROD_260,   Super fast delivery and product quality is top notch!!   ,4,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
7,PROD_847,"Complete scam, returned it immediately. 0 stars<p>",1,"complete scam, returned it immediately. 0 stars",NEGATIVE,0.796
8,PROD_610,<br>Amazing value for money. Really impressed with the build quality<br>,2,amazing value for money. really impressed with the build quality,POSITIVE,0.9999
9,PROD_882,"  
  Best product in this price range hands down 👍👍  
  ",3,best product in this price range hands down,NEGATIVE,0.6948
10,PROD_931,"  
  Packaging was great and product works flawlessly  
  ",1,packaging was great and product works flawlessly,POSITIVE,0.9999
11,PROD_746,"<br>Really good product, will definitely recommend to friends<br>",5,"really good product, will definitely recommend to friends",POSITIVE,0.9999
12,PROD_487," &nbsp; Outstanding quality, arrived on time and works perfectly &nbsp; ",1,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
13,PROD_341,"Its fine i guess, works as expected nothing more",2,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
14,PROD_997,   Love the design and it works exactly as described   ,4,love the design and it works exactly as described,POSITIVE,0.9999
15,PROD_554,"  
  10/10 would buy again. customer service was also helpful  
  ",4,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
16,PROD_134,<br>This product is absolutely amazing! Loved every bit of it 😍<br>,1,this product is absolutely amazing! loved every bit of it,POSITIVE,0.9999
17,PROD_487,"  
  Great quality, fast shipping. Will buy again!!  
  ",2,"great quality, fast shipping. will buy again!!",POSITIVE,0.9997
18,PROD_205, &nbsp; <p>Excellent product</p> highly recommended to everyone &nbsp; ,4,excellent product highly recommended to everyone,POSITIVE,0.9998
19,PROD_501,<br>5 stars!! best purchase i made this year<br>,2,5 stars!! best purchase i made this year,POSITIVE,0.9995
20,PROD_369," &nbsp; Works perfectly fine, very happy with this purchase &amp; &nbsp; ",4,"works perfectly fine, very happy with this purchase",POSITIVE,0.9999
21,PROD_824,"  
  Super fast delivery and product quality is top notch!!  
  ",5,super fast delivery and product quality is top notch!!,POSITIVE,0.9998
22,PROD_891,"   I love this so much, exceeded my expectations completely   ",2,"i love this so much, exceeded my expectations completely",POSITIVE,0.9999
23,PROD_287,"Its fine i guess, works as expected nothing more",4,"its fine i guess, works as expected nothing more",POSITIVE,0.9946
24,PROD_114,   Best product in this price range hands down 👍👍   ,5,best product in this price range hands down,NEGATIVE,0.6948
25,PROD_620,<br>Packaging was great and product works flawlessly<br>,1,packaging was great and product works flawlessly,POSITIVE,0.9999
26,PROD_162,"  
  Really good product, will definitely recommend to friends  
  ",3,"really good product, will definitely recommend to friends",POSITIVE,0.9999
27,PROD_774,"  
  Outstanding quality, arrived on time and works perfectly  
  ",3,"outstanding quality, arrived on time and works perfectly",POSITIVE,0.9999
28,PROD_589,"Worst product i have ever bought, avoid at all costs<p>",2,"worst product i have ever bought, avoid at all costs",NEGATIVE,0.9998
29,PROD_300,<br>Love the design and it works exactly as described<br>,4,love the design and it works exactly as described,POSITIVE,0.9999
30,PROD_602,"  
  10/10 would buy again. customer service was also helpful  
  ",5,10/10 would buy again. customer service was also helpful,POSITIVE,0.997
31,PROD_825,Terrible product!! broke after 2 days of use 😡  ,3,terrible product!! broke after 2 days of use,NEGATIVE,0.9997
32,PROD_712,<b>Worst purchase ever</b> do not buy this garbage&amp;,3,worst purchase ever do not buy this garbage,NEGATIVE,0.9995
